sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Chelsea FC,Everton,2,0
25/26,Liverpool,Brighton & Hove Albion,2,0
25/26,Burnley,Fulham,2,3
25/26,Arsenal,Wolverhampton Wanderers,2,1
25/26,Nottingham Forest,Tottenham Hotspur,3,0
25/26,Sunderland,Newcastle United,1,0
25/26,Crystal Palace,Manchester City,0,3
25/26,West Ham United,Aston Villa,2,3
25/26,Brentford,Leeds United,1,1
25/26,Manchester United,Bournemouth,4,4
24/25,Arsenal FC,Everton FC,0,0
24/25,Liverpool FC,Fulham FC,2,2
24/25,Newcastle United FC,Leicester City FC,4,0
24/25,Wolverhampton Wanderers FC,Ipswich Town FC,1,2
24/25,Nottingham Forest FC,Aston Villa FC,2,1
24/25,Brighton & Hove Albion FC,Crystal Palace FC,1,3
24/25,Manchester City FC,Manchester United FC,1,2
24/25,Chelsea FC,Brentford FC,2,1
24/25,Southampton FC,Tottenham Hotspur FC,0,5
24/25,AFC Bournemouth,West Ham United FC,1,1
23/24,Crystal Palace FC,Liverpool FC,1,2
23/24,Brighton & Hove Albion FC,Burnley FC,1,1
23/24,Manchester United FC,AFC Bournemouth,0,3
23/24,Sheffield United FC,Brentford FC,1,0
23/24,Wolverhampton Wanderers FC,Nottingham Forest FC,1,1
23/24,Aston Villa FC,Arsenal FC,1,0
23/24,Everton FC,Chelsea FC,2,0
23/24,Fulham FC,West Ham United FC,5,0
23/24,Luton Town FC,Manchester City FC,1,2
23/24,Tottenham Hotspur FC,Newcastle United FC,4,1
22/23,Manchester City FC,Brentford FC,1,2
22/23,West Ham United FC,Leicester City FC,0,2
22/23,Tottenham Hotspur FC,Leeds United FC,4,3
22/23,Nottingham Forest FC,Crystal Palace FC,1,0
22/23,Liverpool FC,Southampton FC,3,1
22/23,AFC Bournemouth,Everton FC,3,0
22/23,Newcastle United FC,Chelsea FC,1,0
22/23,Wolverhampton Wanderers FC,Arsenal FC,0,2
22/23,Brighton & Hove Albion FC,Aston Villa FC,1,2
22/23,Fulham FC,Manchester United FC,1,2
21/22,Brentford FC,Watford FC,2,1
21/22,Manchester City FC,Wolverhampton Wanderers FC,1,0
21/22,Liverpool FC,Aston Villa FC,1,0
21/22,Chelsea FC,Leeds United FC,3,2
21/22,Arsenal FC,Southampton FC,3,0
21/22,Norwich City FC,Manchester United FC,0,1
21/22,Leicester City FC,Newcastle United FC,4,0
21/22,Burnley FC,West Ham United FC,0,0
21/22,Crystal Palace FC,Everton FC,3,1
21/22,Brighton & Hove Albion FC,Tottenham Hotspur FC,0,2
20/21,Crystal Palace FC,Leicester City FC,1,1
20/21,Chelsea FC,Aston Villa FC,1,1
20/21,West Bromwich Albion FC,Leeds United FC,0,5
20/21,Burnley FC,Sheffield United FC,1,0
20/21,Southampton FC,West Ham United FC,0,0
20/21,Brighton & Hove Albion FC,Arsenal FC,0,1
20/21,Manchester United FC,Wolverhampton Wanderers FC,1,0
20/21,Newcastle United FC,Liverpool FC,0,0
